weight,size,label
69.0,4.39,orange
69.0,4.21,orange
65.0,4.09,orange
72.0,5.85,apple
67.0,4.7,orange
73.0,5.68,apple
70.0,5.56,orange
75.0,5.11,apple
74.0,5.36,apple
65.0,4.27,orange
73.0,5.79,apple
70.0,5.47,orange
74.0,5.53,apple
68.0,4.47,orange
74.0,5.22,apple
65.0,4.48,orange
69.0,4.66,orange
75.0,5.25,apple
67.0,4.18,orange
74.0,5.5,apple
66.0,4.13,orange
70.0,4.83,orange
69.0,4.61,orange
68.0,4.08,orange
67.0,4.25,orange
71.0,5.35,apple
67.0,4.01,orange
70.0,4.22,orange
74.0,5.25,apple
71.0,5.26,apple
73.0,5.78,apple
66.0,4.68,orange
72.0,5.72,apple
73.0,5.17,apple
68.0,4.83,orange
69.0,4.11,orange
69.0,4.76,orange
74.0,5.48,apple
70.0,5.59,orange
73.0,5.03,apple
